"step","time","part","epoch","loss","lr","outcome_score","outcome_auroc","outcome_auprc","outcome_f_measure","outcome_accuracy","cpc_mse","cpc_mae"
20,"2023-09-13 22:29:39.379122","train",0,0.3287055492401123,0.00032005501380935,"","","","","","",""
40,"2023-09-13 22:29:42.998231","train",0,0.3432410657405853,0.00032022005366108986,"","","","","","",""
60,"2023-09-13 22:29:46.529277","train",0,0.33943355083465576,0.0003204951148263269,"","","","","","",""
80,"2023-09-13 22:29:50.160204","train",0,0.32548174262046814,0.0003208801894237258,"","","","","","",""
100,"2023-09-13 22:29:53.805847","train",0,0.2828502357006073,0.0003213752664197357,"","","","","","",""
120,"2023-09-13 22:29:57.649695","train",0,0.3505779206752777,0.0003219803316289035,"","","","","","",""
140,"2023-09-13 22:30:01.416950","train",0,0.3030144274234772,0.0003226953677142779,"","","","","","",""
160,"2023-09-13 22:30:04.981538","train",0,0.31973814964294434,0.00032352035418791326,"","","","","","",""
180,"2023-09-13 22:30:08.511523","train",0,0.27010107040405273,0.000324455267411451,"","","","","","",""
200,"2023-09-13 22:30:12.427968","train",0,0.26594018936157227,0.00032550008059679687,"","","","","","",""
220,"2023-09-13 22:30:16.007095","train",0,0.32965418696403503,0.0003266547638068936,"","","","","","",""
240,"2023-09-13 22:30:19.560140","train",0,0.24042721092700958,0.0003279192839565721,"","","","","","",""
260,"2023-09-13 22:30:23.092400","train",0,0.23896606266498566,0.0003292936048135053,"","","","","","",""
280,"2023-09-13 22:30:27.117504","train",0,0.2974066734313965,0.00033077768699924133,"","","","","","",""
300,"2023-09-13 22:30:30.687322","train",0,0.2897358536720276,0.0003323714879903362,"","","","","","",""
320,"2023-09-13 22:30:34.151071","train",0,0.338599294424057,0.00033407496211956735,"","","","","","",""
340,"2023-09-13 22:30:37.695706","train",0,0.34293100237846375,0.0003358880605772484,"","","","","","",""
360,"2023-09-13 22:30:41.269297","train",0,0.2700587213039398,0.00033781073141262233,"","","","","","",""
380,"2023-09-13 22:30:45.118169","train",0,0.23606954514980316,0.0003398429195353523,"","","","","","",""
400,"2023-09-13 22:30:48.505565","train",0,0.2725970447063446,0.0003419845667170995,"","","","","","",""
420,"2023-09-13 22:30:52.023565","train",0,0.3878222405910492,0.00034423561159319105,"","","","","","",""
440,"2023-09-13 22:30:55.559375","train",0,0.21062909066677094,0.0003465959896643833,"","","","","","",""
460,"2023-09-13 22:30:59.365808","train",0,0.24652929604053497,0.00034906563329870077,"","","","","","",""
480,"2023-09-13 22:31:02.964740","train",0,0.31046000123023987,0.0003516444717333797,"","","","","","",""
500,"2023-09-13 22:31:06.440265","train",0,0.2627416253089905,0.00035433243107689874,"","","","","","",""
520,"2023-09-13 22:31:09.922899","train",0,0.21204648911952972,0.0003571294343110874,"","","","","","",""
540,"2023-09-13 22:31:13.890686","train",0,0.29977190494537354,0.00036003540129334304,"","","","","","",""
560,"2023-09-13 22:31:17.395409","train",0,0.36765456199645996,0.0003630502487589164,"","","","","","",""
580,"2023-09-13 22:31:20.932452","train",0,0.2973445951938629,0.0003661738903233047,"","","","","","",""
600,"2023-09-13 22:31:24.678072","train",0,0.2366492748260498,0.00036940623648472944,"","","","","","",""
602,"2023-09-13 22:32:01.216243","train",0,"","",0.5583355280484593,0.8497187577409248,0.893620458726298,0.7490292293077487,0.7668000623668209,3.316927394626059,0.9533288290629385
602,"2023-09-13 22:32:10.615277","val",0,"","",0.25668679896462465,0.7302634589879707,0.7546589680372955,0.656150890391173,0.6802141640301776,5.028474081284984,1.3273302506692626
620,"2023-09-13 22:32:37.244116","train",1,0.3658992052078247,0.0003727471946266903,"","","","","","",""
640,"2023-09-13 22:32:40.798497","train",1,0.17225389182567596,0.00037619666902062934,"","","","","","",""
660,"2023-09-13 22:32:44.351723","train",1,0.25152912735939026,0.00037975456082866687,"","","","","","",""
680,"2023-09-13 22:32:47.836761","train",1,0.24083781242370605,0.0003834207681064376,"","","","","","",""
700,"2023-09-13 22:32:51.427809","train",1,0.2813340723514557,0.00038719518580601197,"","","","","","",""
720,"2023-09-13 22:32:55.185507","train",1,0.2824417054653168,0.00039107770577889896,"","","","","","",""
740,"2023-09-13 22:32:58.658907","train",1,0.24385765194892883,0.0003950682167791573,"","","","","","",""
760,"2023-09-13 22:33:02.203847","train",1,0.24919739365577698,0.0003991666044665717,"","","","","","",""
780,"2023-09-13 22:33:05.722757","train",1,0.2657754421234131,0.00040337275140993334,"","","","","","",""
800,"2023-09-13 22:33:09.601010","train",1,0.24130816757678986,0.0004076865370904077,"","","","","","",""
820,"2023-09-13 22:33:13.141135","train",1,0.20827710628509521,0.0004121078379049816,"","","","","","",""
840,"2023-09-13 22:33:16.898296","train",1,0.22326405346393585,0.0004166365271700088,"","","","","","",""
860,"2023-09-13 22:33:20.567665","train",1,0.19305668771266937,0.0004212724751248408,"","","","","","",""
880,"2023-09-13 22:33:24.440181","train",1,0.2868547737598419,0.00042601554893553946,"","","","","","",""
900,"2023-09-13 22:33:28.104544","train",1,0.28513070940971375,0.000430865612698692,"","","","","","",""
920,"2023-09-13 22:33:31.724816","train",1,0.2416379451751709,0.0004358225274452947,"","","","","","",""
940,"2023-09-13 22:33:35.239608","train",1,0.23305641114711761,0.00044088615114474053,"","","","","","",""
960,"2023-09-13 22:33:38.765664","train",1,0.23763954639434814,0.00044605633870889363,"","","","","","",""
980,"2023-09-13 22:33:42.610943","train",1,0.2092052698135376,0.00045133294199623235,"","","","","","",""
1000,"2023-09-13 22:33:46.207673","train",1,0.20709674060344696,0.00045671580981611164,"","","","","","",""
1020,"2023-09-13 22:33:49.628486","train",1,0.2725988030433655,0.0004622047879330772,"","","","","","",""
1040,"2023-09-13 22:33:53.133182","train",1,0.23567362129688263,0.0004677997190713004,"","","","","","",""
1060,"2023-09-13 22:33:56.886827","train",1,0.30211177468299866,0.00047350044291907464,"","","","","","",""
1080,"2023-09-13 22:34:00.367695","train",1,0.20931313931941986,0.00047930679613341406,"","","","","","",""
1100,"2023-09-13 22:34:03.840183","train",1,0.2298722267150879,0.0004852186123447287,"","","","","","",""
1120,"2023-09-13 22:34:07.433985","train",1,0.26398664712905884,0.0004912357221615983,"","","","","","",""
1140,"2023-09-13 22:34:11.364416","train",1,0.23408351838588715,0.0004973579531756204,"","","","","","",""
1160,"2023-09-13 22:34:14.906522","train",1,0.2144085019826889,0.0005035851299663528,"","","","","","",""
1180,"2023-09-13 22:34:18.448430","train",1,0.24721470475196838,0.0005099170741063386,"","","","","","",""
1200,"2023-09-13 22:34:21.927923","train",1,0.29931530356407166,0.0005163536041662186,"","","","","","",""
1204,"2023-09-13 22:34:51.174043","train",1,"","",0.6267228513738917,0.884341996447071,0.9166918389702492,0.7633909441130962,0.7859258874278884,3.114027337456473,0.9026038147705421
1204,"2023-09-13 22:34:59.942231","val",1,"","",0.4098360655737705,0.7979076669899213,0.8318679102037573,0.6694256378272871,0.7033341445607204,4.625456315405208,1.2265758091993186
1220,"2023-09-13 22:35:05.909062","train",2,0.21844391524791718,0.0005228945357199323,"","","","","","",""
1240,"2023-09-13 22:35:09.487208","train",2,0.3548063635826111,0.0005295396813500006,"","","","","","",""
1260,"2023-09-13 22:35:13.066691","train",2,0.16062751412391663,0.000536288850652893,"","","","","","",""
1280,"2023-09-13 22:35:16.562556","train",2,0.3184554874897003,0.000543141850244489,"","","","","","",""
1300,"2023-09-13 22:35:20.075776","train",2,0.25788965821266174,0.0005500984837656167,"","","","","","",""
1320,"2023-09-13 22:35:24.059259","train",2,0.29345691204071045,0.0005571585518876748,"","","","","","",""
1340,"2023-09-13 22:35:27.652325","train",2,0.33839941024780273,0.0005643218523183509,"","","","","","",""
1360,"2023-09-13 22:35:31.258137","train",2,0.17466199398040771,0.0005715881798074142,"","","","","","",""
1380,"2023-09-13 22:35:34.823895","train",2,0.240014910697937,0.0005789573261525934,"","","","","","",""
1400,"2023-09-13 22:35:38.777659","train",2,0.2719644010066986,0.0005864290802055526,"","","","","","",""
1420,"2023-09-13 22:35:42.311487","train",2,0.18793295323848724,0.0005940032278779293,"","","","","","",""
1440,"2023-09-13 22:35:45.957401","train",2,0.2894054353237152,0.0006016795521474752,"","","","","","",""
1460,"2023-09-13 22:35:49.688311","train",2,0.2575426995754242,0.0006094578330642754,"","","","","","",""
1480,"2023-09-13 22:35:53.496969","train",2,0.22018900513648987,0.0006173378477570442,"","","","","","",""
1500,"2023-09-13 22:35:57.219495","train",2,0.22885249555110931,0.0006253193704395203,"","","","","","",""
1520,"2023-09-13 22:36:00.807183","train",2,0.25670692324638367,0.0006334021724169279,"","","","","","",""
1540,"2023-09-13 22:36:04.475265","train",2,0.23664839565753937,0.0006415860220925348,"","","","","","",""
1560,"2023-09-13 22:36:08.388435","train",2,0.29821643233299255,0.0006498706849742851,"","","","","","",""
1580,"2023-09-13 22:36:11.943882","train",2,0.23459063470363617,0.000658255923681521,"","","","","","",""
1600,"2023-09-13 22:36:15.451295","train",2,0.3062375485897064,0.0006667414979517824,"","","","","","",""
1620,"2023-09-13 22:36:18.964346","train",2,0.31591328978538513,0.000675327164647692,"","","","","","",""
1640,"2023-09-13 22:36:22.543497","train",2,0.22365854680538177,0.0006840126777639208,"","","","","","",""
1660,"2023-09-13 22:36:26.356819","train",2,0.21004633605480194,0.0006927977884342365,"","","","","","",""
1680,"2023-09-13 22:36:29.869959","train",2,0.29383960366249084,0.0007016822449386392,"","","","","","",""
1700,"2023-09-13 22:36:33.496767","train",2,0.2726329565048218,0.0007106657927105683,"","","","","","",""
1720,"2023-09-13 22:36:37.051268","train",2,0.24873296916484833,0.0007197481743441998,"","","","","","",""
1740,"2023-09-13 22:36:40.888880","train",2,0.17231732606887817,0.0007289291296018168,"","","","","","",""
1760,"2023-09-13 22:36:44.448838","train",2,0.24473898112773895,0.0007382083954212719,"","","","","","",""
1780,"2023-09-13 22:36:48.049318","train",2,0.23749592900276184,0.0007475857059235256,"","","","","","",""
1800,"2023-09-13 22:36:51.563356","train",2,0.2794559597969055,0.0007570607924202583,"","","","","","",""
1806,"2023-09-13 22:37:20.703543","train",2,"","",0.6334825739618998,0.8856667600468981,0.9196391903960507,0.8053202428244476,0.8085858323371966,2.672886024634894,0.7923184865651474
1806,"2023-09-13 22:37:32.147225","val",2,"","",0.3528904227782571,0.8101852855495933,0.8284790915021102,0.7438744200542518,0.747140423460696,3.897298612801168,1.0445363835483086
1820,"2023-09-13 22:37:55.749864","train",3,0.2111492156982422,0.0007666333834215723,"","","","","","",""
1840,"2023-09-13 22:37:59.425148","train",3,0.40150976181030273,0.0007763032046437723,"","","","","","",""
1860,"2023-09-13 22:38:02.921858","train",3,0.21836982667446136,0.0007860699790172209,"","","","","","",""
1880,"2023-09-13 22:38:06.557692","train",3,0.21399791538715363,0.0007959334266942836,"","","","","","",""
1900,"2023-09-13 22:38:10.358187","train",3,0.1852118819952011,0.0008058932650573374,"","","","","","",""
1920,"2023-09-13 22:38:13.926317","train",3,0.2344510853290558,0.0008159492087268802,"","","","","","",""
1940,"2023-09-13 22:38:17.530822","train",3,0.1922319233417511,0.0008261009695696986,"","","","","","",""
1960,"2023-09-13 22:38:21.142934","train",3,0.28219839930534363,0.0008363482567071276,"","","","","","",""
1980,"2023-09-13 22:38:25.076163","train",3,0.24081654846668243,0.0008466907765233862,"","","","","","",""
2000,"2023-09-13 22:38:28.588816","train",3,0.1705629825592041,0.000857128232673989,"","","","","","",""
2020,"2023-09-13 22:38:32.172529","train",3,0.23744240403175354,0.0008676603260942351,"","","","","","",""
2040,"2023-09-13 22:38:35.766758","train",3,0.28344061970710754,0.0008782867550077818,"","","","","","",""
2060,"2023-09-13 22:38:39.368113","train",3,0.26273512840270996,0.000889007214935289,"","","","","","",""
2080,"2023-09-13 22:38:43.349650","train",3,0.2759782671928406,0.0008998213987031411,"","","","","","",""
2100,"2023-09-13 22:38:47.059119","train",3,0.25774937868118286,0.0009107289964522544,"","","","","","",""
2120,"2023-09-13 22:38:50.722357","train",3,0.15428899228572845,0.0009217296956469494,"","","","","","",""
2140,"2023-09-13 22:38:54.352110","train",3,0.1599082201719284,0.0009328231810839084,"","","","","","",""
