"step","time","part","epoch","loss","lr","outcome_score","outcome_auroc","outcome_auprc","outcome_f_measure","outcome_accuracy","cpc_mse","cpc_mae"
20,"2023-09-15 18:04:49.273522","train",0,0.31347423791885376,0.0003200232419804383,"","","","","","",""
40,"2023-09-15 18:04:52.898815","train",0,0.34244295954704285,0.0003200929676404037,"","","","","","",""
60,"2023-09-15 18:04:56.398364","train",0,0.24806395173072815,0.0003202091761358534,"","","","","","",""
80,"2023-09-15 18:04:59.999840","train",0,0.36156174540519714,0.0003203718660600612,"","","","","","",""
100,"2023-09-15 18:05:03.544626","train",0,0.2549278438091278,0.00032058103544363274,"","","","","","",""
120,"2023-09-15 18:05:10.639236","train",0,0.334430068731308,0.00032083668175453186,"","","","","","",""
140,"2023-09-15 18:05:14.087174","train",0,0.2925838530063629,0.00032113880189810727,"","","","","","",""
160,"2023-09-15 18:05:17.653627","train",0,0.2890966832637787,0.0003214873922171369,"","","","","","",""
180,"2023-09-15 18:05:21.066438","train",0,0.23749247193336487,0.00032188244849186594,"","","","","","",""
200,"2023-09-15 18:05:24.774044","train",0,0.3263724744319916,0.00032232396594005907,"","","","","","",""
220,"2023-09-15 18:05:28.187539","train",0,0.3187004029750824,0.00032281193921705927,"","","","","","",""
240,"2023-09-15 18:05:31.571378","train",0,0.2611435353755951,0.00032334636241585467,"","","","","","",""
260,"2023-09-15 18:05:34.900986","train",0,0.27778807282447815,0.0003239272290671462,"","","","","","",""
280,"2023-09-15 18:05:38.633725","train",0,0.21904277801513672,0.00032455453213942834,"","","","","","",""
300,"2023-09-15 18:05:42.102436","train",0,0.25713735818862915,0.0003252282640390713,"","","","","","",""
320,"2023-09-15 18:05:45.490499","train",0,0.3756190836429596,0.00032594841661042016,"","","","","","",""
340,"2023-09-15 18:05:48.889298","train",0,0.3014676570892334,0.00032671498113588226,"","","","","","",""
360,"2023-09-15 18:05:52.338039","train",0,0.3016260266304016,0.0003275279483360436,"","","","","","",""
380,"2023-09-15 18:05:56.129219","train",0,0.23773322999477386,0.00032838730836977446,"","","","","","",""
400,"2023-09-15 18:05:59.569843","train",0,0.23931097984313965,0.00032929305083435195,"","","","","","",""
420,"2023-09-15 18:06:03.087573","train",0,0.3302114009857178,0.00033024516476558557,"","","","","","",""
440,"2023-09-15 18:06:06.585871","train",0,0.22972427308559418,0.0003312436386379439,"","","","","","",""
460,"2023-09-15 18:06:10.254554","train",0,0.317354679107666,0.0003322884603647056,"","","","","","",""
480,"2023-09-15 18:06:13.672609","train",0,0.2501981556415558,0.0003333796172980954,"","","","","","",""
500,"2023-09-15 18:06:17.236301","train",0,0.27175506949424744,0.00033451709622944314,"","","","","","",""
520,"2023-09-15 18:06:20.637493","train",0,0.27208465337753296,0.0003357008833893404,"","","","","","",""
540,"2023-09-15 18:06:24.471117","train",0,0.30617833137512207,0.0003369309644478107,"","","","","","",""
560,"2023-09-15 18:06:27.894478","train",0,0.21549499034881592,0.000338207324514477,"","","","","","",""
580,"2023-09-15 18:06:31.451911","train",0,0.28090700507164,0.00033952994813874794,"","","","","","",""
600,"2023-09-15 18:06:34.840190","train",0,0.2825826406478882,0.0003408988193100036,"","","","","","",""
602,"2023-09-15 18:07:15.467442","train",0,"","",0.47502414186638575,0.8296589664317784,0.8705256685467379,0.6851846060757839,0.6859830570136687,4.591705212826776,1.2720232836131178
602,"2023-09-15 18:07:44.777788","val",0,"","",0.34037963761863677,0.7589091079016983,0.7954203202941948,0.6353908601059503,0.6395716719396447,5.528839133609151,1.4524215137503043
620,"2023-09-15 18:07:51.180135","train",1,0.3048679828643799,0.00034231392145778715,"","","","","","",""
640,"2023-09-15 18:07:54.654083","train",1,0.23780043423175812,0.00034377523745200526,"","","","","","",""
660,"2023-09-15 18:07:58.090687","train",1,0.18543802201747894,0.00034528274960314055,"","","","","","",""
680,"2023-09-15 18:08:01.484973","train",1,0.288924902677536,0.00034683643966245715,"","","","","","",""
700,"2023-09-15 18:08:05.091734","train",1,0.26364341378211975,0.00034843628882223147,"","","","","","",""
720,"2023-09-15 18:08:08.906968","train",1,0.21495771408081055,0.00035008227771596984,"","","","","","",""
740,"2023-09-15 18:08:12.394610","train",1,0.21814151108264923,0.00035177438641865316,"","","","","","",""
760,"2023-09-15 18:08:15.917380","train",1,0.21347390115261078,0.0003535125944469685,"","","","","","",""
780,"2023-09-15 18:08:19.380587","train",1,0.32074472308158875,0.000355296880759564,"","","","","","",""
800,"2023-09-15 18:08:23.039889","train",1,0.2470434159040451,0.0003571272237573005,"","","","","","",""
820,"2023-09-15 18:08:26.495789","train",1,0.18657441437244415,0.00035900360128351266,"","","","","","",""
840,"2023-09-15 18:08:29.995291","train",1,0.18422341346740723,0.0003609259906242803,"","","","","","",""
860,"2023-09-15 18:08:33.426810","train",1,0.309762567281723,0.00036289436850869654,"","","","","","",""
880,"2023-09-15 18:08:37.270029","train",1,0.28351011872291565,0.00036490871110916,"","","","","","",""
900,"2023-09-15 18:08:40.719240","train",1,0.2317277044057846,0.0003669689940416542,"","","","","","",""
920,"2023-09-15 18:08:44.330810","train",1,0.18858735263347626,0.0003690751923660432,"","","","","","",""
940,"2023-09-15 18:08:47.823462","train",1,0.3872847557067871,0.00037122728058638053,"","","","","","",""
960,"2023-09-15 18:08:51.331249","train",1,0.23082947731018066,0.00037342523265121354,"","","","","","",""
980,"2023-09-15 18:08:55.181183","train",1,0.22866378724575043,0.0003756690219538948,"","","","","","",""
1000,"2023-09-15 18:08:58.703198","train",1,0.3596472442150116,0.0003779586213329116,"","","","","","",""
1020,"2023-09-15 18:09:02.218258","train",1,0.19657014310359955,0.0003802940030722098,"","","","","","",""
1040,"2023-09-15 18:09:05.701929","train",1,0.2678702175617218,0.00038267513890152816,"","","","","","",""
1060,"2023-09-15 18:09:09.416215","train",1,0.15861070156097412,0.0003851019999967483,"","","","","","",""
1080,"2023-09-15 18:09:12.859699","train",1,0.2593033015727997,0.00038757455698023614,"","","","","","",""
1100,"2023-09-15 18:09:16.271340","train",1,0.21477456390857697,0.00039009277992119694,"","","","","","",""
1120,"2023-09-15 18:09:19.736456","train",1,0.24591064453125,0.0003926566383360445,"","","","","","",""
1140,"2023-09-15 18:09:23.568220","train",1,0.25458383560180664,0.00039526610118876485,"","","","","","",""
1160,"2023-09-15 18:09:27.073128","train",1,0.21546268463134766,0.0003979211368912933,"","","","","","",""
1180,"2023-09-15 18:09:30.598991","train",1,0.23896999657154083,0.0004006217133038963,"","","","","","",""
1200,"2023-09-15 18:09:33.987612","train",1,0.20747895538806915,0.0004033677977355616,"","","","","","",""
1204,"2023-09-15 18:10:06.704334","train",1,"","",0.647089807742955,0.8852638494911851,0.917326005051156,0.80693577334346,0.8132113715503352,2.652928641962476,0.7873291408970428
1204,"2023-09-15 18:10:15.952745","val",1,"","",0.26790336496980155,0.7585533361371146,0.7860337768944418,0.7034880715082884,0.7116086639084935,4.491117060111949,1.1929909953760038
1220,"2023-09-15 18:10:23.766801","train",2,0.2440749704837799,0.00040615935694439127,"","","","","","",""
1240,"2023-09-15 18:10:27.203411","train",2,0.32621845602989197,0.0004089963571380093,"","","","","","",""
1260,"2023-09-15 18:10:30.687679","train",2,0.27376770973205566,0.0004118787639739675,"","","","","","",""
1280,"2023-09-15 18:10:34.159332","train",2,0.1965939849615097,0.00041480654256015846,"","","","","","",""
1300,"2023-09-15 18:10:37.701600","train",2,0.27223992347717285,0.00041777965745524136,"","","","","","",""
1320,"2023-09-15 18:10:41.587545","train",2,0.2690083086490631,0.000420798072669073,"","","","","","",""
