"step","time","part","epoch","loss","lr","outcome_score","outcome_auroc","outcome_auprc","outcome_f_measure","outcome_accuracy","cpc_mse","cpc_mae"
20,"2023-09-12 11:54:21.521956","train",0,0.263519287109375,0.00032007683977690153,"","","","","","",""
40,"2023-09-12 11:54:25.007296","train",0,0.3279515206813812,0.00032030735603242374,"","","","","","",""
60,"2023-09-12 11:54:28.471598","train",0,0.32340100407600403,0.0003206915395411406,"","","","","","",""
80,"2023-09-12 11:54:31.974897","train",0,0.30944544076919556,0.00032122937492775304,"","","","","","",""
100,"2023-09-12 11:54:35.471754","train",0,0.32323986291885376,0.0003219208406677011,"","","","","","",""
120,"2023-09-12 11:54:40.302844","train",0,0.3230554759502411,0.0003227659090880332,"","","","","","",""
140,"2023-09-12 11:54:43.810430","train",0,0.30823928117752075,0.00032376454636850235,"","","","","","",""
160,"2023-09-12 11:54:47.311436","train",0,0.2759498655796051,0.0003249167125429298,"","","","","","",""
180,"2023-09-12 11:54:50.753606","train",0,0.2768535315990448,0.0003262223615007982,"","","","","","",""
200,"2023-09-12 11:54:54.418987","train",0,0.28066372871398926,0.0003276814409891018,"","","","","","",""
220,"2023-09-12 11:54:57.908378","train",0,0.3297916352748871,0.00032929389261443075,"","","","","","",""
240,"2023-09-12 11:55:01.306224","train",0,0.24100565910339355,0.0003310596518453163,"","","","","","",""
260,"2023-09-12 11:55:04.673108","train",0,0.2811174690723419,0.000332978648014807,"","","","","","",""
280,"2023-09-12 11:55:08.475556","train",0,0.2136022299528122,0.00033505080432329973,"","","","","","",""
300,"2023-09-12 11:55:11.839559","train",0,0.278380811214447,0.00033727603784161446,"","","","","","",""
320,"2023-09-12 11:55:15.247544","train",0,0.25531426072120667,0.00033965425951430674,"","","","","","",""
340,"2023-09-12 11:55:18.719024","train",0,0.30911993980407715,0.00034218537416324385,"","","","","","",""
360,"2023-09-12 11:55:22.158364","train",0,0.26204967498779297,0.0003448692804914003,"","","","","","",""
380,"2023-09-12 11:55:25.906301","train",0,0.2015475481748581,0.00034770587108691985,"","","","","","",""
400,"2023-09-12 11:55:29.329996","train",0,0.20929203927516937,0.000350695032427413,"","","","","","",""
420,"2023-09-12 11:55:32.844725","train",0,0.282705157995224,0.00035383664488449883,"","","","","","",""
440,"2023-09-12 11:55:36.337037","train",0,0.2682051360607147,0.0003571305827285952,"","","","","","",""
460,"2023-09-12 11:55:40.089407","train",0,0.2625761330127716,0.0003605767141339443,"","","","","","",""
480,"2023-09-12 11:55:43.520194","train",0,0.3675105571746826,0.00036417490118390017,"","","","","","",""
500,"2023-09-12 11:55:46.988532","train",0,0.28702300786972046,0.00036792499987643463,"","","","","","",""
520,"2023-09-12 11:55:50.492910","train",0,0.19743669033050537,0.0003718268601299087,"","","","","","",""
540,"2023-09-12 11:55:54.231172","train",0,0.3297370374202728,0.0003758803257890766,"","","","","","",""
560,"2023-09-12 11:55:57.742654","train",0,0.2874574363231659,0.0003800852346313357,"","","","","","",""
580,"2023-09-12 11:56:01.181077","train",0,0.26828593015670776,0.000384441418373219,"","","","","","",""
600,"2023-09-12 11:56:04.645124","train",0,0.2833934724330902,0.00038894870267712923,"","","","","","",""
602,"2023-09-12 11:56:40.248057","train",0,"","",0.5311210604863489,0.840598147940019,0.8844857529413543,0.763415482788167,0.7682552881866846,3.307364482095525,0.9509381009303051
602,"2023-09-12 11:56:48.636385","val",0,"","",0.40379637618636754,0.7834975857140188,0.8172609154213881,0.6977146889965892,0.7038208809929424,4.530055974689706,1.202725724020443
620,"2023-09-12 11:56:54.724466","train",1,0.2320551872253418,0.0003936069071583167,"","","","","","",""
640,"2023-09-12 11:56:58.162221","train",1,0.20798826217651367,0.00039841584539209666,"","","","","","",""
660,"2023-09-12 11:57:01.549069","train",1,0.2792855501174927,0.00040337532492131217,"","","","","","",""
680,"2023-09-12 11:57:04.960649","train",1,0.22617743909358978,0.00040848514726403613,"","","","","","",""
700,"2023-09-12 11:57:08.430692","train",1,0.27444449067115784,0.0004137451079215147,"","","","","","",""
720,"2023-09-12 11:57:12.221012","train",1,0.34206005930900574,0.000419154996386349,"","","","","","",""
740,"2023-09-12 11:57:15.716751","train",1,0.29886186122894287,0.0004247145961509243,"","","","","","",""
760,"2023-09-12 11:57:19.259672","train",1,0.22971975803375244,0.0004304236847160704,"","","","","","",""
780,"2023-09-12 11:57:22.757338","train",1,0.24921229481697083,0.00043628203359996794,"","","","","","",""
800,"2023-09-12 11:57:26.572381","train",1,0.30134281516075134,0.00044228940834729457,"","","","","","",""
820,"2023-09-12 11:57:30.008258","train",1,0.3605705201625824,0.0004484455685386055,"","","","","","",""
840,"2023-09-12 11:57:33.461397","train",1,0.24136380851268768,0.00045475026779995265,"","","","","","",""
860,"2023-09-12 11:57:36.900204","train",1,0.2939910590648651,0.00046120325381275064,"","","","","","",""
