"step","time","part","epoch","loss","lr","outcome_score","outcome_auroc","outcome_auprc","outcome_f_measure","outcome_accuracy","cpc_mse","cpc_mae"
20,"2023-09-19 08:55:08.133921","train",0,0.3554677665233612,0.000320069657218351,"","","","","","",""
40,"2023-09-19 08:55:11.327723","train",0,0.3203536868095398,0.00032027862634625374,"","","","","","",""
60,"2023-09-19 08:55:14.447112","train",0,0.3114318251609802,0.00032062689980235076,"","","","","","",""
80,"2023-09-19 08:55:17.594027","train",0,0.2702161371707916,0.00032111446495134907,"","","","","","",""
100,"2023-09-19 08:55:20.998625","train",0,0.3134930431842804,0.00032174130410448417,"","","","","","",""
120,"2023-09-19 08:55:24.135120","train",0,0.3211333453655243,0.0003225073945201532,"","","","","","",""
140,"2023-09-19 08:55:27.184854","train",0,0.2946690618991852,0.00032341270840475014,"","","","","","",""
160,"2023-09-19 08:55:30.214206","train",0,0.30950966477394104,0.0003244572129136652,"","","","","","",""
180,"2023-09-19 08:55:33.293242","train",0,0.24395404756069183,0.00032564087015248596,"","","","","","",""
200,"2023-09-19 08:55:36.377750","train",0,0.22800424695014954,0.0003269636371783591,"","","","","","",""
220,"2023-09-19 08:55:39.771652","train",0,0.27663901448249817,0.00032842546600156224,"","","","","","",""
240,"2023-09-19 08:55:42.923515","train",0,0.2752585709095001,0.0003300263035872367,"","","","","","",""
260,"2023-09-19 08:55:46.054598","train",0,0.2959393262863159,0.0003317660918573115,"","","","","","",""
280,"2023-09-19 08:55:49.170037","train",0,0.30259469151496887,0.0003336447676926136,"","","","","","",""
300,"2023-09-19 08:55:52.344643","train",0,0.19723685085773468,0.00033566226293515935,"","","","","","",""
320,"2023-09-19 08:55:55.739947","train",0,0.20336541533470154,0.00033781850439062056,"","","","","","",""
340,"2023-09-19 08:55:58.845655","train",0,0.25806885957717896,0.00034011341383098723,"","","","","","",""
360,"2023-09-19 08:56:01.905990","train",0,0.22940964996814728,0.00034254690799740035,"","","","","","",""
380,"2023-09-19 08:56:04.933064","train",0,0.27230656147003174,0.0003451188986031738,"","","","","","",""
400,"2023-09-19 08:56:08.109320","train",0,0.2531042695045471,0.0003478292923370027,"","","","","","",""
420,"2023-09-19 08:56:11.484934","train",0,0.2806325852870941,0.00035067799086633926,"","","","","","",""
440,"2023-09-19 08:56:14.623516","train",0,0.29360437393188477,0.00035366489084096616,"","","","","","",""
460,"2023-09-19 08:56:17.730906","train",0,0.28938594460487366,0.00035678988389674805,"","","","","","",""
480,"2023-09-19 08:56:20.794035","train",0,0.24672284722328186,0.000360052856659558,"","","","","","",""
500,"2023-09-19 08:56:23.873677","train",0,0.2721298038959503,0.00036345369074939054,"","","","","","",""
520,"2023-09-19 08:56:27.338861","train",0,0.24534213542938232,0.00036699226278466297,"","","","","","",""
535,"2023-09-19 08:57:08.763439","train",0,"","",0.49512773242033187,0.8386864699866425,0.8830582523676317,0.7463863841932354,0.7474143755522062,3.642482199469882,1.0347175302738942
535,"2023-09-19 08:57:17.346027","val",0,"","",0.3882657463330457,0.7791584709088516,0.7987200917310348,0.6820815542686416,0.6821611097590655,4.898028717449501,1.2947189097103917
540,"2023-09-19 08:57:21.071147","train",1,0.24548980593681335,0.0003706684443866848,"","","","","","",""
560,"2023-09-19 08:57:24.163725","train",1,0.3158072829246521,0.00037448210218431807,"","","","","","",""
580,"2023-09-19 08:57:27.236095","train",1,0.2583324611186981,0.0003784330978188156,"","","","","","",""
600,"2023-09-19 08:57:30.333303","train",1,0.1699681282043457,0.0003825212879488421,"","","","","","",""
620,"2023-09-19 08:57:33.505582","train",1,0.2529769837856293,0.00038674652425567044,"","","","","","",""
640,"2023-09-19 08:57:37.105448","train",1,0.21977849304676056,0.00039110865344856895,"","","","","","",""
660,"2023-09-19 08:57:40.177149","train",1,0.3005368411540985,0.00039560751727035683,"","","","","","",""
680,"2023-09-19 08:57:43.331884","train",1,0.16180108487606049,0.0004002429525031496,"","","","","","",""
700,"2023-09-19 08:57:46.479077","train",1,0.2721046805381775,0.0004050147909742778,"","","","","","",""
720,"2023-09-19 08:57:49.639795","train",1,0.19701921939849854,0.00040992285956239095,"","","","","","",""
740,"2023-09-19 08:57:53.230784","train",1,0.23604747653007507,0.00041496698020373514,"","","","","","",""
760,"2023-09-19 08:57:56.315249","train",1,0.26345816254615784,0.00042014696989861773,"","","","","","",""
780,"2023-09-19 08:57:59.385305","train",1,0.2542630434036255,0.00042546264071803997,"","","","","","",""
800,"2023-09-19 08:58:02.481789","train",1,0.2535521388053894,0.00043091379981052315,"","","","","","",""
820,"2023-09-19 08:58:05.582918","train",1,0.2722863256931305,0.0004365002494090978,"","","","","","",""
840,"2023-09-19 08:58:08.651099","train",1,0.22592642903327942,0.0004422217868384846,"","","","","","",""
860,"2023-09-19 08:58:12.001063","train",1,0.22502018511295319,0.00044807820452244,"","","","","","",""
880,"2023-09-19 08:58:15.096492","train",1,0.2504369020462036,0.000454069289991298,"","","","","","",""
900,"2023-09-19 08:58:18.145014","train",1,0.3336948752403259,0.0004601948258896645,"","","","","","",""
920,"2023-09-19 08:58:21.288637","train",1,0.1410956084728241,0.0004664545899843199,"","","","","","",""
940,"2023-09-19 08:58:24.386159","train",1,0.20399193465709686,0.0004728483551722628,"","","","","","",""
960,"2023-09-19 08:58:27.746063","train",1,0.2669077515602112,0.0004793758894889649,"","","","","","",""
980,"2023-09-19 08:58:30.867118","train",1,0.21378567814826965,0.0004860369561167782,"","","","","","",""
1000,"2023-09-19 08:58:33.943364","train",1,0.22698748111724854,0.0004928313133935307,"","","","","","",""
1020,"2023-09-19 08:58:37.141471","train",1,0.16946884989738464,0.0004997587148212893,"","","","","","",""
1040,"2023-09-19 08:58:40.581533","train",1,0.2819071412086487,0.0005068189090753081,"","","","","","",""
1060,"2023-09-19 08:58:43.685140","train",1,0.22790667414665222,0.0005140116400131423,"","","","","","",""
1070,"2023-09-19 08:59:14.092260","train",1,"","",0.6427881660960407,0.8873823898294928,0.9209839447786982,0.8064391910740116,0.8109245881191206,2.680370043137051,0.7941894911906866
1070,"2023-09-19 08:59:22.788213","val",1,"","",0.37532355478861085,0.766384409825947,0.8081799468839256,0.695752077581034,0.7011438306157216,4.654660501338525,1.2338768556826478
1080,"2023-09-19 08:59:29.902989","train",2,0.21188168227672577,0.0005213366466839441,"","","","","","",""
1100,"2023-09-19 08:59:33.070723","train",2,0.21085241436958313,0.0005287936633379267,"","","","","","",""
1120,"2023-09-19 08:59:36.087678","train",2,0.30320289731025696,0.0005363824194360095,"","","","","","",""
1140,"2023-09-19 08:59:39.627565","train",2,0.27662643790245056,0.0005441026396596285,"","","","","","",""
1160,"2023-09-19 08:59:42.706016","train",2,0.2760868966579437,0.0005519540439207285,"","","","","","",""
1180,"2023-09-19 08:59:45.816667","train",2,0.2608088254928589,0.0005599363473719242,"","","","","","",""
1200,"2023-09-19 08:59:48.813614","train",2,0.29379454255104065,0.0005680492604168324,"","","","","","",""
1220,"2023-09-19 08:59:51.855435","train",2,0.22538405656814575,0.0005762924887205822,"","","","","","",""
1240,"2023-09-19 08:59:55.351787","train",2,0.27917638421058655,0.0005846657332204868,"","","","","","",""
1260,"2023-09-19 08:59:58.475718","train",2,0.18773804605007172,0.0005931686901369014,"","","","","","",""
1280,"2023-09-19 09:00:01.518263","train",2,0.2414180189371109,0.0006018010509842393,"","","","","","",""
