"step","time","part","epoch","loss","lr","outcome_score","outcome_auroc","outcome_auprc","outcome_f_measure","outcome_accuracy","cpc_mse","cpc_mae"
20,"2023-09-18 00:20:50.202445","train",0,0.33157938718795776,0.0003200232419804383,"","","","","","",""
40,"2023-09-18 00:20:53.606748","train",0,0.33547544479370117,0.0003200929676404037,"","","","","","",""
60,"2023-09-18 00:20:57.601335","train",0,0.35520970821380615,0.0003202091761358534,"","","","","","",""
80,"2023-09-18 00:21:01.041410","train",0,0.337222158908844,0.0003203718660600612,"","","","","","",""
100,"2023-09-18 00:21:04.480324","train",0,0.30404067039489746,0.00032058103544363274,"","","","","","",""
120,"2023-09-18 00:21:07.810354","train",0,0.28466880321502686,0.00032083668175453186,"","","","","","",""
140,"2023-09-18 00:21:11.603832","train",0,0.29766497015953064,0.00032113880189810727,"","","","","","",""
160,"2023-09-18 00:21:15.008076","train",0,0.286408394575119,0.0003214873922171369,"","","","","","",""
180,"2023-09-18 00:21:18.494460","train",0,0.3405205309391022,0.00032188244849186594,"","","","","","",""
200,"2023-09-18 00:21:22.105799","train",0,0.360241562128067,0.00032232396594005907,"","","","","","",""
220,"2023-09-18 00:21:25.415374","train",0,0.2909897267818451,0.00032281193921705927,"","","","","","",""
240,"2023-09-18 00:21:29.283702","train",0,0.3298439085483551,0.00032334636241585467,"","","","","","",""
260,"2023-09-18 00:21:32.700924","train",0,0.24175596237182617,0.0003239272290671462,"","","","","","",""
280,"2023-09-18 00:21:36.127351","train",0,0.2988222539424896,0.00032455453213942834,"","","","","","",""
300,"2023-09-18 00:21:39.602781","train",0,0.25095412135124207,0.0003252282640390713,"","","","","","",""
320,"2023-09-18 00:21:43.026836","train",0,0.3200709819793701,0.00032594841661042016,"","","","","","",""
340,"2023-09-18 00:21:46.766694","train",0,0.2679823040962219,0.00032671498113588226,"","","","","","",""
360,"2023-09-18 00:21:50.231656","train",0,0.3184893727302551,0.0003275279483360436,"","","","","","",""
380,"2023-09-18 00:21:53.525221","train",0,0.3065048158168793,0.00032838730836977446,"","","","","","",""
400,"2023-09-18 00:21:56.926469","train",0,0.34575754404067993,0.00032929305083435195,"","","","","","",""
420,"2023-09-18 00:22:00.640333","train",0,0.2840934991836548,0.00033024516476558557,"","","","","","",""
440,"2023-09-18 00:22:03.972603","train",0,0.29229652881622314,0.0003312436386379439,"","","","","","",""
460,"2023-09-18 00:22:07.521085","train",0,0.30593323707580566,0.0003322884603647056,"","","","","","",""
480,"2023-09-18 00:22:11.017519","train",0,0.27123069763183594,0.0003333796172980954,"","","","","","",""
500,"2023-09-18 00:22:14.447931","train",0,0.2960878014564514,0.00033451709622944314,"","","","","","",""
520,"2023-09-18 00:22:18.136814","train",0,0.2770206928253174,0.0003357008833893404,"","","","","","",""
540,"2023-09-18 00:22:21.616481","train",0,0.26048025488853455,0.0003369309644478107,"","","","","","",""
560,"2023-09-18 00:22:25.045423","train",0,0.22808752954006195,0.000338207324514477,"","","","","","",""
580,"2023-09-18 00:22:28.313430","train",0,0.2611413896083832,0.00033952994813874794,"","","","","","",""
600,"2023-09-18 00:22:31.707935","train",0,0.2538463771343231,0.0003408988193100036,"","","","","","",""
602,"2023-09-18 00:23:11.514439","train",0,"","",0.3824071635501712,0.8028886253366856,0.840729933589984,0.7071139492888661,0.7337456473156281,3.8582713996154046,1.0886648303102748
602,"2023-09-18 00:23:22.901693","val",0,"","",0.3429680759275237,0.7672773319189161,0.7939651120189563,0.6832368665591573,0.7118520321246046,4.52616208323193,1.201752251155999
620,"2023-09-18 00:23:31.277301","train",1,0.3070959150791168,0.00034231392145778715,"","","","","","",""
640,"2023-09-18 00:23:34.670207","train",1,0.3044334948062897,0.00034377523745200526,"","","","","","",""
660,"2023-09-18 00:23:38.128926","train",1,0.27802321314811707,0.00034528274960314055,"","","","","","",""
680,"2023-09-18 00:23:41.654771","train",1,0.27429795265197754,0.00034683643966245715,"","","","","","",""
700,"2023-09-18 00:23:45.476604","train",1,0.29910141229629517,0.00034843628882223147,"","","","","","",""
720,"2023-09-18 00:23:48.785390","train",1,0.24549412727355957,0.00035008227771596984,"","","","","","",""
740,"2023-09-18 00:23:52.186383","train",1,0.2953065037727356,0.00035177438641865316,"","","","","","",""
760,"2023-09-18 00:23:55.637211","train",1,0.2850818336009979,0.0003535125944469685,"","","","","","",""
780,"2023-09-18 00:23:58.977431","train",1,0.24682188034057617,0.000355296880759564,"","","","","","",""
800,"2023-09-18 00:24:02.812148","train",1,0.3602046072483063,0.0003571272237573005,"","","","","","",""
820,"2023-09-18 00:24:06.307779","train",1,0.31595924496650696,0.00035900360128351266,"","","","","","",""
840,"2023-09-18 00:24:09.760003","train",1,0.29471689462661743,0.0003609259906242803,"","","","","","",""
860,"2023-09-18 00:24:13.080459","train",1,0.2947949171066284,0.00036289436850869654,"","","","","","",""
880,"2023-09-18 00:24:16.505054","train",1,0.3170776069164276,0.00036490871110916,"","","","","","",""
900,"2023-09-18 00:24:20.180353","train",1,0.3498023450374603,0.0003669689940416542,"","","","","","",""
920,"2023-09-18 00:24:23.567537","train",1,0.26285767555236816,0.0003690751923660432,"","","","","","",""
940,"2023-09-18 00:24:26.940082","train",1,0.31021764874458313,0.00037122728058638053,"","","","","","",""
960,"2023-09-18 00:24:30.411143","train",1,0.35946786403656006,0.00037342523265121354,"","","","","","",""
980,"2023-09-18 00:24:34.070360","train",1,0.3466772437095642,0.0003756690219538948,"","","","","","",""
1000,"2023-09-18 00:24:37.528745","train",1,0.3000319004058838,0.0003779586213329116,"","","","","","",""
1020,"2023-09-18 00:24:40.991170","train",1,0.27357396483421326,0.0003802940030722098,"","","","","","",""
1040,"2023-09-18 00:24:44.407180","train",1,0.3335106372833252,0.00038267513890152816,"","","","","","",""
1060,"2023-09-18 00:24:47.797983","train",1,0.3583298623561859,0.0003851019999967483,"","","","","","",""
1080,"2023-09-18 00:24:51.583411","train",1,0.4035707116127014,0.00038757455698023614,"","","","","","",""
1100,"2023-09-18 00:24:54.973831","train",1,0.2655769884586334,0.00039009277992119694,"","","","","","",""
1120,"2023-09-18 00:24:58.428559","train",1,0.2548634111881256,0.0003926566383360445,"","","","","","",""
1140,"2023-09-18 00:25:01.805482","train",1,0.2724182605743408,0.00039526610118876485,"","","","","","",""
1160,"2023-09-18 00:25:05.565456","train",1,0.2793051600456238,0.0003979211368912933,"","","","","","",""
1180,"2023-09-18 00:25:09.027023","train",1,0.30495014786720276,0.0004006217133038963,"","","","","","",""
1200,"2023-09-18 00:25:12.494317","train",1,0.3005737066268921,0.0004033677977355616,"","","","","","",""
1204,"2023-09-18 00:25:44.617886","train",1,"","",0.4774822228074796,0.8351239804360115,0.8783697164127497,0.7214923929017383,0.7216880619510421,4.001299308767735,1.1244218075983576
