"step","time","part","epoch","loss","lr","outcome_score","outcome_auroc","outcome_auprc","outcome_f_measure","outcome_accuracy","cpc_mse","cpc_mae"
20,"2023-09-19 13:26:10.946411","train",0,0.3159547448158264,0.000320069657218351,"","","","","","",""
40,"2023-09-19 13:26:16.221789","train",0,0.28890088200569153,0.00032027862634625374,"","","","","","",""
60,"2023-09-19 13:26:21.475669","train",0,0.27202868461608887,0.00032062689980235076,"","","","","","",""
80,"2023-09-19 13:26:26.733431","train",0,0.26906368136405945,0.00032111446495134907,"","","","","","",""
100,"2023-09-19 13:26:31.994129","train",0,0.32203754782676697,0.00032174130410448417,"","","","","","",""
120,"2023-09-19 13:26:37.254895","train",0,0.25857338309288025,0.0003225073945201532,"","","","","","",""
140,"2023-09-19 13:26:42.516416","train",0,0.3280964493751526,0.00032341270840475014,"","","","","","",""
160,"2023-09-19 13:26:47.777901","train",0,0.3227677047252655,0.0003244572129136652,"","","","","","",""
180,"2023-09-19 13:26:53.040102","train",0,0.26902642846107483,0.00032564087015248596,"","","","","","",""
200,"2023-09-19 13:26:58.302790","train",0,0.2509995698928833,0.0003269636371783591,"","","","","","",""
220,"2023-09-19 13:27:03.564726","train",0,0.2517598867416382,0.00032842546600156224,"","","","","","",""
240,"2023-09-19 13:27:08.827357","train",0,0.27228331565856934,0.0003300263035872367,"","","","","","",""
260,"2023-09-19 13:27:14.090675","train",0,0.2764667868614197,0.0003317660918573115,"","","","","","",""
280,"2023-09-19 13:27:19.358369","train",0,0.28441640734672546,0.0003336447676926136,"","","","","","",""
300,"2023-09-19 13:27:24.627837","train",0,0.28093278408050537,0.00033566226293515935,"","","","","","",""
320,"2023-09-19 13:27:29.897637","train",0,0.22113612294197083,0.00033781850439062056,"","","","","","",""
340,"2023-09-19 13:27:35.168266","train",0,0.34356945753097534,0.00034011341383098723,"","","","","","",""
360,"2023-09-19 13:27:40.438964","train",0,0.20434841513633728,0.00034254690799740035,"","","","","","",""
380,"2023-09-19 13:27:45.708694","train",0,0.2362590879201889,0.0003451188986031738,"","","","","","",""
400,"2023-09-19 13:27:50.979151","train",0,0.21243570744991302,0.0003478292923370027,"","","","","","",""
420,"2023-09-19 13:27:56.250732","train",0,0.23116657137870789,0.00035067799086633926,"","","","","","",""
440,"2023-09-19 13:28:01.522142","train",0,0.317166268825531,0.00035366489084096616,"","","","","","",""
460,"2023-09-19 13:28:06.793561","train",0,0.24529901146888733,0.00035678988389674805,"","","","","","",""
480,"2023-09-19 13:28:12.065934","train",0,0.2523564398288727,0.000360052856659558,"","","","","","",""
500,"2023-09-19 13:28:17.336649","train",0,0.2128353863954544,0.00036345369074939054,"","","","","","",""
520,"2023-09-19 13:28:22.609319","train",0,0.2550078332424164,0.00036699226278466297,"","","","","","",""
535,"2023-09-19 13:29:22.074638","train",0,"","",0.3838995698358353,0.7937161643425051,0.8378808059095882,0.7244392896857481,0.7340055090691752,3.8158619614365157,1.0780624707655526
535,"2023-09-19 13:29:35.253616","val",0,"","",0.36194995685936154,0.7641623417634585,0.7898249328092446,0.6973592687878403,0.7072280360184959,4.5689948892674614,1.212460452664882
540,"2023-09-19 13:29:37.922258","train",1,0.25232937932014465,0.0003706684443866848,"","","","","","",""
560,"2023-09-19 13:29:43.200917","train",1,0.3449145555496216,0.00037448210218431807,"","","","","","",""
580,"2023-09-19 13:29:48.475274","train",1,0.3203819692134857,0.0003784330978188156,"","","","","","",""
